Team #,CMP,Event,P(DCMP)
4854,2024micmp,FIRST in Michigan State Championship,0
4855,2024micmp,FIRST in Michigan State Championship,0
494,2024micmp,FIRST in Michigan State Championship,1
4956,2024micmp,FIRST in Michigan State Championship,0
4961,2024micmp,FIRST in Michigan State Championship,0
4967,2024micmp,FIRST in Michigan State Championship,1
4983,2024micmp,FIRST in Michigan State Championship,0
4988,2024micmp,FIRST in Michigan State Championship,0
4994,2024micmp,FIRST in Michigan State Championship,0
4998,2024micmp,FIRST in Michigan State Championship,1
503,2024micmp,FIRST in Michigan State Championship,1
5046,2024micmp,FIRST in Michigan State Championship,0
5050,2024micmp,FIRST in Michigan State Championship,0
5053,2024micmp,FIRST in Michigan State Championship,0
5056,2024micmp,FIRST in Michigan State Championship,1
5065,2024micmp,FIRST in Michigan State Championship,0
5066,2024micmp,FIRST in Michigan State Championship,0
5067,2024micmp,FIRST in Michigan State Championship,0
5084,2024micmp,FIRST in Michigan State Championship,1
5086,2024micmp,FIRST in Michigan State Championship,0
5090,2024micmp,FIRST in Michigan State Championship,0
51,2024micmp,FIRST in Michigan State Championship,1
5110,2024micmp,FIRST in Michigan State Championship,0
5114,2024micmp,FIRST in Michigan State Championship,1
5144,2024micmp,FIRST in Michigan State Championship,0
5150,2024micmp,FIRST in Michigan State Championship,0
5152,2024micmp,FIRST in Michigan State Championship,1
5162,2024micmp,FIRST in Michigan State Championship,0
5166,2024micmp,FIRST in Michigan State Championship,1
5167,2024micmp,FIRST in Michigan State Championship,0
5182,2024micmp,FIRST in Michigan State Championship,0
5183,2024micmp,FIRST in Michigan State Championship,0
5193,2024micmp,FIRST in Michigan State Championship,0
5197,2024micmp,FIRST in Michigan State Championship,0
5205,2024micmp,FIRST in Michigan State Championship,0
5213,2024micmp,FIRST in Michigan State Championship,0
5214,2024micmp,FIRST in Michigan State Championship,0
5216,2024micmp,FIRST in Michigan State Championship,1
5225,2024micmp,FIRST in Michigan State Championship,0
5227,2024micmp,FIRST in Michigan State Championship,0
